SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 245, 16, 52, 124, 18, 32, 3
S0101, AZANIA, All, 245, 16, 52, 124, 18, 32, 3
S0103, BIHAWANA, F, 0, 0, 0, 0, 0, 0, 0
S0103, BIHAWANA, M, 415, 26, 146, 215, 21, 5, 2
S0103, BIHAWANA, All, 415, 26, 146, 215, 21, 5, 2
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 141, 15, 38, 63, 7, 17, 1
S0104, BWIRU BOYS, All, 141, 15, 38, 63, 7, 17, 1
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 9, 1, 4, 4, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, All, 9, 1, 4, 4, 0, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, F, 39, 1, 8, 25, 4, 1, 0
S0107, LUTHERAN JUNIOR SEMINARY, M, 48, 0, 15, 30, 3, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, All, 87, 1, 23, 55, 7, 1, 0
S0108, IFUNDA TECHNICAL, F, 122, 2, 11, 81, 16, 11, 1
S0108, IFUNDA TECHNICAL, M, 295, 15, 72, 150, 36, 20, 2
S0108, IFUNDA TECHNICAL, All, 417, 17, 83, 231, 52, 31, 3
S0109, IHUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0109, IHUNGO, M, 372, 54, 133, 167, 15, 3, 0
S0109, IHUNGO, All, 372, 54, 133, 167, 15, 3, 0
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 191, 105, 56, 29, 0, 0, 1
S0110, ILBORU, All, 191, 105, 56, 29, 0, 0, 1
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 23, 1, 4, 17, 1, 0, 0
S0111, ITAGA SEMINARY, All, 23, 1, 4, 17, 1, 0, 0
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 235, 24, 76, 117, 8, 8, 2
S0112, IYUNGA TECHNICAL, All, 235, 24, 76, 117, 8, 8, 2
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 33, 3, 17, 13, 0, 0, 0
S0113, MAFINGA SEMINARY, All, 33, 3, 17, 13, 0, 0, 0
S0114, KAENGESA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, M, 19, 1, 14, 4, 0, 0, 0
S0114, KAENGESA SEMINARY, All, 19, 1, 14, 4, 0, 0, 0
S0115, KAHORORO, F, 0, 0, 0, 0, 0, 0, 0
S0115, KAHORORO, M, 248, 15, 97, 117, 7, 9, 3
S0115, KAHORORO, All, 248, 15, 97, 117, 7, 9, 3
S0116, KANTALAMBA, F, 0, 0, 0, 0, 0, 0, 0
S0116, KANTALAMBA, M, 138, 21, 69, 46, 1, 0, 1
S0116, KANTALAMBA, All, 138, 21, 69, 46, 1, 0, 1
S0117, KASITA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0117, KASITA SEMINARY, M, 40, 3, 6, 26, 4, 1, 0
S0117, KASITA SEMINARY, All, 40, 3, 6, 26, 4, 1, 0
S0119, KIBAHA, F, 0, 0, 0, 0, 0, 0, 0
S0119, KIBAHA, M, 173, 107, 56, 10, 0, 0, 0
S0119, KIBAHA, All, 173, 107, 56, 10, 0, 0, 0
S0120, KIGONSERA, F, 0, 0, 0, 0, 0, 0, 0
S0120, KIGONSERA, M, 431, 27, 164, 203, 21, 15, 1
S0120, KIGONSERA, All, 431, 27, 164, 203, 21, 15, 1
S0121, ST. JAMES SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0121, ST. JAMES SEMINARY, M, 23, 14, 9, 0, 0, 0, 0
S0121, ST. JAMES SEMINARY, All, 23, 14, 9, 0, 0, 0, 0
S0123, KWIRO, F, 0, 0, 0, 0, 0, 0, 0
S0123, KWIRO, M, 311, 46, 139, 109, 12, 3, 2
S0123, KWIRO, All, 311, 46, 139, 109, 12, 3, 2
S0124, LIKONDE SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0124, LIKONDE SEMINARY, M, 10, 1, 7, 2, 0, 0, 0
S0124, LIKONDE SEMINARY, All, 10, 1, 7, 2, 0, 0, 0
S0125, LYAMUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0125, LYAMUNGO, M, 435, 52, 178, 185, 13, 2, 5
S0125, LYAMUNGO, All, 435, 52, 178, 185, 13, 2, 5
S0128, MALANGALI, F, 0, 0, 0, 0, 0, 0, 0
S0128, MALANGALI, M, 209, 39, 130, 39, 0, 1, 0
S0128, MALANGALI, All, 209, 39, 130, 39, 0, 1, 0
S0129, MARA, F, 0, 0, 0, 0, 0, 0, 0
S0129, MARA, M, 240, 7, 96, 119, 15, 2, 1
S0129, MARA, All, 240, 7, 96, 119, 15, 2, 1
S0130, MAUA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0130, MAUA SEMINARY, M, 27, 8, 13, 6, 0, 0, 0
S0130, MAUA SEMINARY, All, 27, 8, 13, 6, 0, 0, 0
S0132, MILAMBO, F, 0, 0, 0, 0, 0, 0, 0
S0132, MILAMBO, M, 438, 30, 145, 226, 27, 8, 2
S0132, MILAMBO, All, 438, 30, 145, 226, 27, 8, 2
S0133, MINAKI, F, 0, 0, 0, 0, 0, 0, 0
S0133, MINAKI, M, 332, 36, 105, 149, 18, 9, 15
S0133, MINAKI, All, 332, 36, 105, 149, 18, 9, 15
S0134, MOSHI, F, 0, 0, 0, 0, 0, 0, 0
S0134, MOSHI, M, 258, 55, 92, 89, 10, 10, 2
S0134, MOSHI, All, 258, 55, 92, 89, 10, 10, 2
S0135, MOSHI TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0135, MOSHI TECHNICAL, M, 252, 37, 71, 110, 25, 5, 4
S0135, MOSHI TECHNICAL, All, 252, 37, 71, 110, 25, 5, 4
S0136, MUSOMA, F, 0, 0, 0, 0, 0, 0, 0
S0136, MUSOMA, M, 230, 20, 88, 96, 13, 11, 2
S0136, MUSOMA, All, 230, 20, 88, 96, 13, 11, 2
S0138, MPWAPWA, F, 36, 6, 19, 8, 1, 2, 0
S0138, MPWAPWA, M, 85, 15, 45, 17, 2, 4, 2
S0138, MPWAPWA, All, 121, 21, 64, 25, 3, 6, 2
S0139, MTWARA TECHNICAL, F, 38, 4, 19, 14, 0, 0, 1
S0139, MTWARA TECHNICAL, M, 80, 16, 32, 28, 3, 0, 1
S0139, MTWARA TECHNICAL, All, 118, 20, 51, 42, 3, 0, 2
S0140, MZUMBE, F, 0, 0, 0, 0, 0, 0, 0
S0140, MZUMBE, M, 144, 94, 39, 8, 1, 0, 2
S0140, MZUMBE, All, 144, 94, 39, 8, 1, 0, 2
S0142, GALANOS, F, 0, 0, 0, 0, 0, 0, 0
S0142, GALANOS, M, 372, 25, 125, 178, 27, 15, 2
S0142, GALANOS, All, 372, 25, 125, 178, 27, 15, 2
S0143, NJOMBE, F, 0, 0, 0, 0, 0, 0, 0
S0143, NJOMBE, M, 455, 52, 200, 176, 19, 6, 2
S0143, NJOMBE, All, 455, 52, 200, 176, 19, 6, 2
S0144, NSUMBA, F, 0, 0, 0, 0, 0, 0, 0
S0144, NSUMBA, M, 417, 51, 185, 164, 12, 4, 1
S0144, NSUMBA, All, 417, 51, 185, 164, 12, 4, 1
S0145, NYAKATO, F, 0, 0, 0, 0, 0, 0, 0
S0145, NYAKATO, M, 227, 6, 76, 120, 16, 9, 0
S0145, NYAKATO, All, 227, 6, 76, 120, 16, 9, 0
S0146, NYEGEZI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0146, NYEGEZI SEMINARY, M, 18, 5, 10, 3, 0, 0, 0
S0146, NYEGEZI SEMINARY, All, 18, 5, 10, 3, 0, 0, 0
S0147, PUGU, F, 0, 0, 0, 0, 0, 0, 0
S0147, PUGU, M, 259, 15, 71, 129, 24, 17, 3
S0147, PUGU, All, 259, 15, 71, 129, 24, 17, 3
S0148, RUBYA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0148, RUBYA SEMINARY, M, 9, 4, 5, 0, 0, 0, 0
S0148, RUBYA SEMINARY, All, 9, 4, 5, 0, 0, 0, 0
S0149, RUNGWE, F, 0, 0, 0, 0, 0, 0, 0
S0149, RUNGWE, M, 470, 42, 196, 204, 16, 11, 1
S0149, RUNGWE, All, 470, 42, 196, 204, 16, 11, 1
S0150, SAME, F, 1, 0, 0, 1, 0, 0, 0
S0150, SAME, M, 392, 76, 160, 137, 14, 4, 1
S0150, SAME, All, 393, 76, 160, 138, 14, 4, 1
S0151, SENGEREMA, F, 0, 0, 0, 0, 0, 0, 0
S0151, SENGEREMA, M, 571, 31, 207, 281, 32, 11, 9
S0151, SENGEREMA, All, 571, 31, 207, 281, 32, 11, 9
S0152, SHINYANGA, F, 0, 0, 0, 0, 0, 0, 0
S0152, SHINYANGA, M, 160, 12, 57, 75, 11, 5, 0
S0152, SHINYANGA, All, 160, 12, 57, 75, 11, 5, 0
S0153, SONGEA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0153, SONGEA BOYS, M, 269, 28, 98, 120, 19, 4, 0
S0153, SONGEA BOYS, All, 269, 28, 98, 120, 19, 4, 0
S0154, ST.PETER'S SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0154, ST.PETER'S SEMINARY, M, 9, 1, 3, 5, 0, 0, 0
S0154, ST.PETER'S SEMINARY, All, 9, 1, 3, 5, 0, 0, 0
S0155, TABORA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0155, TABORA BOYS, M, 129, 80, 43, 6, 0, 0, 0
S0155, TABORA BOYS, All, 129, 80, 43, 6, 0, 0, 0
S0156, TANGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0156, TANGA TECHNICAL, M, 136, 11, 31, 61, 21, 12, 0
S0156, TANGA TECHNICAL, All, 136, 11, 31, 61, 21, 12, 0
S0158, TOSAMAGANGA, F, 0, 0, 0, 0, 0, 0, 0
S0158, TOSAMAGANGA, M, 434, 44, 150, 206, 22, 9, 3
S0158, TOSAMAGANGA, All, 434, 44, 150, 206, 22, 9, 3
S0160, UMBWE, F, 0, 0, 0, 0, 0, 0, 0
S0160, UMBWE, M, 389, 67, 182, 133, 3, 1, 3
S0160, UMBWE, All, 389, 67, 182, 133, 3, 1, 3
S0164, USA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0164, USA SEMINARY, M, 20, 0, 9, 11, 0, 0, 0
S0164, USA SEMINARY, All, 20, 0, 9, 11, 0, 0, 0
S0165, URU SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0165, URU SEMINARY, M, 58, 16, 31, 11, 0, 0, 0
S0165, URU SEMINARY, All, 58, 16, 31, 11, 0, 0, 0
S0167, KIDUGALA LUTHERAN SEMINARY, F, 24, 0, 9, 14, 0, 1, 0
S0167, KIDUGALA LUTHERAN SEMINARY, M, 45, 0, 19, 24, 2, 0, 0
S0167, KIDUGALA LUTHERAN SEMINARY, All, 69, 0, 28, 38, 2, 1, 0
S0168, SANU SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0168, SANU SEMINARY, M, 47, 5, 14, 28, 0, 0, 0
S0168, SANU SEMINARY, All, 47, 5, 14, 28, 0, 0, 0
S0174, CONSOLATA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0174, CONSOLATA SEMINARY, M, 44, 4, 25, 13, 1, 1, 0
S0174, CONSOLATA SEMINARY, All, 44, 4, 25, 13, 1, 1, 0
S0175, SALESIAN SEMINARY, F, 19, 5, 11, 3, 0, 0, 0
S0175, SALESIAN SEMINARY, M, 22, 4, 16, 2, 0, 0, 0
S0175, SALESIAN SEMINARY, All, 41, 9, 27, 5, 0, 0, 0
S0178, MANOW LUTHERAN JUNIOR SEMINARY, F, 6, 0, 0, 6, 0, 0, 0
S0178, MANOW LUTHERAN JUNIOR SEMINARY, M, 38, 3, 9, 23, 2, 1, 0
S0178, MANOW LUTHERAN JUNIOR SEMINARY, All, 44, 3, 9, 29, 2, 1, 0
S0179, ST.MARY'S SEMINARY MBALIZI, F, 0, 0, 0, 0, 0, 0, 0
S0179, ST.MARY'S SEMINARY MBALIZI, M, 9, 1, 3, 5, 0, 0, 0
S0179, ST.MARY'S SEMINARY MBALIZI, All, 9, 1, 3, 5, 0, 0, 0
S0181, KISARAWE LUTHERAN JUNIOR SEMINARY, F, 3, 0, 1, 2, 0, 0, 0
S0181, KISARAWE LUTHERAN JUNIOR SEMINARY, M, 16, 2, 10, 3, 1, 0, 0
S0181, KISARAWE LUTHERAN JUNIOR SEMINARY, All, 19, 2, 11, 5, 1, 0, 0
S0184, AGAPE LUTHERAN J SEMINARY, F, 24, 1, 10, 13, 0, 0, 0
S0184, AGAPE LUTHERAN J SEMINARY, M, 29, 6, 14, 9, 0, 0, 0
S0184, AGAPE LUTHERAN J SEMINARY, All, 53, 7, 24, 22, 0, 0, 0
S0188, KIRINJIKO ISLAMIC SEMINARY, F, 86, 6, 48, 32, 0, 0, 0
S0188, KIRINJIKO ISLAMIC SEMINARY, M, 67, 7, 37, 23, 0, 0, 0
S0188, KIRINJIKO ISLAMIC SEMINARY, All, 153, 13, 85, 55, 0, 0, 0
S0189, FEZA BOYS', F, 0, 0, 0, 0, 0, 0, 0
S0189, FEZA BOYS', M, 86, 54, 23, 9, 0, 0, 0
S0189, FEZA BOYS', All, 86, 54, 23, 9, 0, 0, 0
S0190, ST.JOSEPH-KILOCHA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0190, ST.JOSEPH-KILOCHA SEMINARY, M, 3, 0, 1, 2, 0, 0, 0
S0190, ST.JOSEPH-KILOCHA SEMINARY, All, 3, 0, 1, 2, 0, 0, 0
S0198, AILANGA LUTHERAN JUNIOR SEMINARY, F, 28, 2, 6, 15, 4, 1, 0
S0198, AILANGA LUTHERAN JUNIOR SEMINARY, M, 30, 0, 7, 18, 4, 1, 0
S0198, AILANGA LUTHERAN JUNIOR SEMINARY, All, 58, 2, 13, 33, 8, 2, 0
S0201, ASHIRA, F, 386, 31, 150, 189, 14, 2, 0
S0201, ASHIRA, M, 0, 0, 0, 0, 0, 0, 0
S0201, ASHIRA, All, 386, 31, 150, 189, 14, 2, 0
S0202, BWIRU GIRLS, F, 439, 22, 120, 219, 50, 24, 4
S0202, BWIRU GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0202, BWIRU GIRLS, All, 439, 22, 120, 219, 50, 24, 4
S0203, IRINGA GIRLS, F, 209, 4, 91, 104, 8, 2, 0
S0203, IRINGA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0203, IRINGA GIRLS, All, 209, 4, 91, 104, 8, 2, 0
S0204, JANGWANI, F, 119, 14, 27, 57, 8, 13, 0
S0204, JANGWANI, M, 0, 0, 0, 0, 0, 0, 0
S0204, JANGWANI, All, 119, 14, 27, 57, 8, 13, 0
S0205, KIBOSHO GIRLS, F, 84, 11, 41, 31, 1, 0, 0
S0205, KIBOSHO GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0205, KIBOSHO GIRLS, All, 84, 11, 41, 31, 1, 0, 0
S0206, KILAKALA, F, 141, 69, 57, 15, 0, 0, 0
S0206, KILAKALA, M, 0, 0, 0, 0, 0, 0, 0
S0206, KILAKALA, All, 141, 69, 57, 15, 0, 0, 0
S0207, KIRAENI GIRLS, F, 47, 11, 10, 25, 1, 0, 0
S0207, KIRAENI GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0207, KIRAENI GIRLS, All, 47, 11, 10, 25, 1, 0, 0
S0209, KOROGWE GIRLS, F, 275, 14, 85, 134, 34, 6, 2
S0209, KOROGWE GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0209, KOROGWE GIRLS, All, 275, 14, 85, 134, 34, 6, 2
S0210, BIGWA SISTERS SEMINARY, F, 43, 0, 11, 20, 9, 3, 0
S0210, BIGWA SISTERS SEMINARY, M, 0, 0, 0, 0, 0, 0, 0
S0210, BIGWA SISTERS SEMINARY, All, 43, 0, 11, 20, 9, 3, 0
S0211, LOLEZA, F, 353, 13, 166, 162, 9, 3, 0
S0211, LOLEZA, M, 0, 0, 0, 0, 0, 0, 0
S0211, LOLEZA, All, 353, 13, 166, 162, 9, 3, 0
S0212, MACHAME GIRLS, F, 304, 37, 97, 151, 16, 1, 2
S0212, MACHAME GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0212, MACHAME GIRLS, All, 304, 37, 97, 151, 16, 1, 2
S0213, MASASI GIRLS, F, 138, 10, 94, 31, 3, 0, 0
S0213, MASASI GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0213, MASASI GIRLS, All, 138, 10, 94, 31, 3, 0, 0
S0214, MSALATO, F, 89, 46, 30, 12, 0, 0, 1
S0214, MSALATO, M, 0, 0, 0, 0, 0, 0, 0
S0214, MSALATO, All, 89, 46, 30, 12, 0, 0, 1
S0215, MTWARA GIRLS, F, 156, 8, 57, 85, 6, 0, 0
S0215, MTWARA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0215, MTWARA GIRLS, All, 156, 8, 57, 85, 6, 0, 0
S0216, NGANZA, F, 370, 53, 135, 155, 18, 8, 1
S0216, NGANZA, M, 0, 0, 0, 0, 0, 0, 0
S0216, NGANZA, All, 370, 53, 135, 155, 18, 8, 1
S0217, PERAMIHO GIRLS, F, 21, 2, 15, 4, 0, 0, 0
S0217, PERAMIHO GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0217, PERAMIHO GIRLS, All, 21, 2, 15, 4, 0, 0, 0
S0218, RUGAMBWA, F, 151, 29, 58, 58, 5, 1, 0
S0218, RUGAMBWA, M, 0, 0, 0, 0, 0, 0, 0
S0218, RUGAMBWA, All, 151, 29, 58, 58, 5, 1, 0
S0219, SONGEA GIRLS, F, 563, 25, 211, 287, 24, 14, 2
S0219, SONGEA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0219, SONGEA GIRLS, All, 563, 25, 211, 287, 24, 14, 2
S0220, TABORA GIRLS, F, 139, 87, 42, 10, 0, 0, 0
S0220, TABORA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0220, TABORA GIRLS, All, 139, 87, 42, 10, 0, 0, 0
S0221, WERUWERU, F, 310, 70, 158, 80, 2, 0, 0
S0221, WERUWERU, M, 0, 0, 0, 0, 0, 0, 0
S0221, WERUWERU, All, 310, 70, 158, 80, 2, 0, 0
S0222, ZANAKI, F, 151, 1, 47, 93, 5, 4, 1
S0222, ZANAKI, M, 0, 0, 0, 0, 0, 0, 0
S0222, ZANAKI, All, 151, 1, 47, 93, 5, 4, 1
S0223, MASAMA GIRLS, F, 24, 8, 10, 6, 0, 0, 0
S0223, MASAMA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0223, MASAMA GIRLS, All, 24, 8, 10, 6, 0, 0, 0
S0224, KIFUNGILO GIRLS, F, 42, 20, 14, 8, 0, 0, 0
S0224, KIFUNGILO GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0224, KIFUNGILO GIRLS, All, 42, 20, 14, 8, 0, 0, 0
S0227, MASWA GIRLS, F, 329, 18, 118, 140, 34, 17, 2
S0227, MASWA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0227, MASWA GIRLS, All, 329, 18, 118, 140, 34, 17, 2
S0228, MPANDA GIRLS, F, 406, 21, 158, 212, 11, 3, 1
S0228, MPANDA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0228, MPANDA GIRLS, All, 406, 21, 158, 212, 11, 3, 1
S0229, KONDOA GIRLS, F, 402, 6, 143, 228, 19, 5, 1
S0229, KONDOA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0229, KONDOA GIRLS, All, 402, 6, 143, 228, 19, 5, 1
S0230, KIBONDO, F, 275, 23, 126, 118, 7, 1, 0
S0230, KIBONDO, M, 0, 0, 0, 0, 0, 0, 0
S0230, KIBONDO, All, 275, 23, 126, 118, 7, 1, 0
S0233, ST.MARY'S MAZINDE JUU, F, 149, 96, 44, 9, 0, 0, 0
S0233, ST.MARY'S MAZINDE JUU, M, 0, 0, 0, 0, 0, 0, 0
S0233, ST.MARY'S MAZINDE JUU, All, 149, 96, 44, 9, 0, 0, 0
S0234, ST.LUISE MBINGA GIRLS, F, 36, 3, 13, 18, 2, 0, 0
S0234, ST.LUISE MBINGA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0234, ST.LUISE MBINGA GIRLS, All, 36, 3, 13, 18, 2, 0, 0
S0240, ST.JOSEPH GIRLS SEMINARY, F, 17, 1, 7, 8, 1, 0, 0
S0240, ST.JOSEPH GIRLS SEMINARY, M, 0, 0, 0, 0, 0, 0, 0
S0240, ST.JOSEPH GIRLS SEMINARY, All, 17, 1, 7, 8, 1, 0, 0
S0245, PALLOTI GIRLS, F, 47, 7, 22, 15, 3, 0, 0
S0245, PALLOTI GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0245, PALLOTI GIRLS, All, 47, 7, 22, 15, 3, 0, 0
S0246, MAASAE GIRLS LUTHERAN SCH, F, 41, 0, 12, 21, 5, 3, 0
S0246, MAASAE GIRLS LUTHERAN SCH, M, 0, 0, 0, 0, 0, 0, 0
S0246, MAASAE GIRLS LUTHERAN SCH, All, 41, 0, 12, 21, 5, 3, 0
S0247, BONICONSILI MABAMBA GIRLS SEC.SCHOOL, F, 13, 0, 10, 3, 0, 0, 0
S0247, BONICONSILI MABAMBA GIRLS SEC.SCHOOL, M, 0, 0, 0, 0, 0, 0, 0
S0247, BONICONSILI MABAMBA GIRLS SEC.SCHOOL, All, 13, 0, 10, 3, 0, 0, 0
S0248, MARIAN GIRLS, F, 108, 72, 31, 5, 0, 0, 0
S0248, MARIAN GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0248, MARIAN GIRLS, All, 108, 72, 31, 5, 0, 0, 0
S0249, LORETO GIRLS, F, 82, 10, 28, 40, 1, 3, 0
S0249, LORETO GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0249, LORETO GIRLS, All, 82, 10, 28, 40, 1, 3, 0
S0252, AL-KHEIR ISLAMIC GIRLS SEMINARY, F, 22, 2, 11, 8, 1, 0, 0
S0252, AL-KHEIR ISLAMIC GIRLS SEMINARY, M, 0, 0, 0, 0, 0, 0, 0
S0252, AL-KHEIR ISLAMIC GIRLS SEMINARY, All, 22, 2, 11, 8, 1, 0, 0
S0253, GREEN BIRD GIRLS', F, 17, 0, 3, 14, 0, 0, 0
S0253, GREEN BIRD GIRLS', M, 0, 0, 0, 0, 0, 0, 0
S0253, GREEN BIRD GIRLS', All, 17, 0, 3, 14, 0, 0, 0
S0255, ST.CHRISTINA GIRL'S SCHOOL, F, 68, 24, 38, 6, 0, 0, 0
S0255, ST.CHRISTINA GIRL'S SCHOOL, M, 0, 0, 0, 0, 0, 0, 0
S0255, ST.CHRISTINA GIRL'S SCHOOL, All, 68, 24, 38, 6, 0, 0, 0
S0256, HURUMA GIRLS, F, 39, 6, 16, 17, 0, 0, 0
S0256, HURUMA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0256, HURUMA GIRLS, All, 39, 6, 16, 17, 0, 0, 0
S0263, VISITATION GIRLS', F, 37, 11, 17, 9, 0, 0, 0
S0263, VISITATION GIRLS', M, 0, 0, 0, 0, 0, 0, 0
S0263, VISITATION GIRLS', All, 37, 11, 17, 9, 0, 0, 0
S0264, BARBRO-JOHANSSON, F, 104, 13, 50, 40, 1, 0, 0
S0264, BARBRO-JOHANSSON, M, 0, 0, 0, 0, 0, 0, 0
S0264, BARBRO-JOHANSSON, All, 104, 13, 50, 40, 1, 0, 0
S0266, REGINAMUNDI GIRLS', F, 10, 1, 7, 2, 0, 0, 0
S0266, REGINAMUNDI GIRLS', M, 0, 0, 0, 0, 0, 0, 0
S0266, REGINAMUNDI GIRLS', All, 10, 1, 7, 2, 0, 0, 0
S0271, MANYUNYU, F, 105, 1, 52, 40, 10, 2, 0
S0271, MANYUNYU, M, 0, 0, 0, 0, 0, 0, 0
S0271, MANYUNYU, All, 105, 1, 52, 40, 10, 2, 0
S0272, AL-IHSAN GIRLS, F, 41, 1, 6, 23, 5, 5, 1
S0272, AL-IHSAN GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0272, AL-IHSAN GIRLS, All, 41, 1, 6, 23, 5, 5, 1
S0276, IFUNDA GIRLS, F, 270, 20, 94, 137, 15, 4, 0
S0276, IFUNDA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0276, IFUNDA GIRLS, All, 270, 20, 94, 137, 15, 4, 0
S0281, CHIEF IHUNYO SEC SCHOOL, F, 195, 27, 114, 54, 0, 0, 0
S0281, CHIEF IHUNYO SEC SCHOOL, M, 0, 0, 0, 0, 0, 0, 0
S0281, CHIEF IHUNYO SEC SCHOOL, All, 195, 27, 114, 54, 0, 0, 0
S0284, RONECA GIRL'S, F, 33, 6, 11, 14, 2, 0, 0
S0284, RONECA GIRL'S, M, 0, 0, 0, 0, 0, 0, 0
S0284, RONECA GIRL'S, All, 33, 6, 11, 14, 2, 0, 0
S0285, ST.THERESIA GIRLS, F, 3, 0, 1, 2, 0, 0, 0
S0285, ST.THERESIA GIRLS, M, 0, 0, 0, 0, 0, 0, 0
S0285, ST.THERESIA GIRLS, All, 3, 0, 1, 2, 0, 0, 0
S0298, FEZA GIRLS', F, 67, 57, 10, 0, 0, 0, 0
S0298, FEZA GIRLS', M, 0, 0, 0, 0, 0, 0, 0
S0298, FEZA GIRLS', All, 67, 57, 10, 0, 0, 0, 0
S0299, MKUGWA, F, 65, 4, 37, 24, 0, 0, 0
S0299, MKUGWA, M, 0, 0, 0, 0, 0, 0, 0
S0299, MKUGWA, All, 65, 4, 37, 24, 0, 0, 0
S0302, ARUSHA, F, 72, 3, 25, 40, 4, 0, 0
S0302, ARUSHA, M, 77, 4, 12, 48, 11, 2, 0
S0302, ARUSHA, All, 149, 7, 37, 88, 15, 2, 0
S0304, BUKOBA, F, 53, 4, 16, 31, 1, 1, 0
S0304, BUKOBA, M, 0, 0, 0, 0, 0, 0, 0
S0304, BUKOBA, All, 53, 4, 16, 31, 1, 1, 0
S0305, BULUBA, F, 9, 0, 4, 4, 0, 1, 0
S0305, BULUBA, M, 43, 0, 14, 29, 0, 0, 0
S0305, BULUBA, All, 52, 0, 18, 33, 0, 1, 0
S0306, DODOMA, F, 108, 5, 30, 66, 6, 1, 0
S0306, DODOMA, M, 77, 1, 19, 49, 3, 4, 1
S0306, DODOMA, All, 185, 6, 49, 115, 9, 5, 1
S0308, ENABOISHU, F, 33, 3, 19, 11, 0, 0, 0
S0308, ENABOISHU, M, 85, 0, 51, 33, 1, 0, 0
S0308, ENABOISHU, All, 118, 3, 70, 44, 1, 0, 0
S0309, FIDEL CASTRO, F, 29, 1, 4, 23, 1, 0, 0
S0309, FIDEL CASTRO, M, 64, 0, 22, 32, 9, 1, 0
S0309, FIDEL CASTRO, All, 93, 1, 26, 55, 10, 1, 0
S0310, FOREST HILL, F, 2, 0, 0, 1, 1, 0, 0
S0310, FOREST HILL, M, 12, 0, 5, 7, 0, 0, 0
S0310, FOREST HILL, All, 14, 0, 5, 8, 1, 0, 0
S0312, HIGHLANDS, F, 4, 0, 0, 4, 0, 0, 0
